market_id,question,category,token_id,closedTime,t,price,timestamp,days_to_close,final_price,outcome,future_price,price_return,price_ma7,price_std7,price_diff1,price_diff6,price_diff12,price_diff24,dist_from_half,drift_from_start,price_min,price_max,price_relative,price_vs_ma,time_bucket,target,price_diff1_norm,price_diff6_norm,price_diff24_norm,price_ma3,price_ma14,price_std14,price_x_near,price_x_far,price_zscore14,prob,side,price_return_signed,price_return_capped,kelly,position_usdc,pnl_usdc,cumulative_pnl_usdc,capital,drawdown_usdc,month
244621,Will @realDonaldTrump tweet in 2022?,Pop-Culture ,102894439065827948528517742821392984534879642748379345137452173673949276014977,2023-01-02 22:00:59+00:00,1671084041,0.5,2022-12-15 06:00:41+00:00,18.666875,0.01,0.0,0.14,-0.36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.9999999979591836,0.9999999980000001,mid,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.004230334,short,0.36,0.36,0.05,50.0,17.0,17.0,1017.0,0.0,2022-12
244621,Will @realDonaldTrump tweet in 2022?,Pop-Culture ,102894439065827948528517742821392984534879642748379345137452173673949276014977,2023-01-02 22:00:59+00:00,1671096016,0.26,2022-12-15 09:20:16+00:00,18.528275462962963,0.01,0.0,0.14,-0.12,0.34,0.13856406460551018,0.0,0.0,0.0,0.0,0.24,-0.24,0.01,0.5,0.5102040805914202,0.7647058801038061,mid,0,0.0,0.0,0.0,0.34,0.34,0.13856406460551018,0.0,0.0,-0.5773502650229593,0.22239487,short,0.12,0.12,0.05,50.0,5.0,22.0,1022.0,0.0,2022-12
244621,Will @realDonaldTrump tweet in 2022?,Pop-Culture ,102894439065827948528517742821392984534879642748379345137452173673949276014977,2023-01-02 22:00:59+00:00,1671102045,0.26,2022-12-15 11:00:45+00:00,18.458495370370372,0.01,0.0,0.14,-0.12,0.32,0.12000000000000001,0.0,0.0,0.0,0.0,0.24,-0.24,0.01,0.5,0.5102040805914202,0.8124999974609375,mid,0,0.0,0.0,0.0,0.26,0.32,0.12000000000000001,0.0,0.0,-0.4999999958333333,0.21878886,short,0.12,0.12,0.05,50.0,5.0,27.0,1027.0,0.0,2022-12
244621,Will @realDonaldTrump tweet in 2022?,Pop-Culture ,102894439065827948528517742821392984534879642748379345137452173673949276014977,2023-01-02 22:00:59+00:00,1671108012,0.26,2022-12-15 12:40:12+00:00,18.38943287037037,0.01,0.0,0.14,-0.12,0.308,0.10733126291998991,0.0,0.0,0.0,0.0,0.24,-0.24,0.01,0.5,0.5102040805914202,0.8441558414150784,mid,0,0.0,0.0,0.0,0.26,0.308,0.10733126291998991,0.0,0.0,-0.44721359133329114,0.22190934,short,0.12,0.12,0.05,50.0,5.0,32.0,1032.0,0.0,2022-12
244621,Will @realDonaldTrump tweet in 2022?,Pop-Culture ,102894439065827948528517742821392984534879642748379345137452173673949276014977,2023-01-02 22:00:59+00:00,1671114020,0.26,2022-12-15 14:20:20+00:00,18.319895833333337,0.01,0.0,0.14,-0.12,0.3,0.09797958971132713,0.0,0.0,0.0,0.0,0.24,-0.24,0.01,0.5,0.5102040805914202,0.8666666637777778,mid,0,0.0,0.0,0.0,0.26,0.3,0.09797958971132713,0.0,0.0,-0.4082482862971962,0.24755,short,0.12,0.12,0.05,50.0,5.0,37.0,1037.0,0.0,2022-12
248208,Will the Fed increase interest rates by 50 bps after its February meeting?,,47964004584107225500321701776265303926067511500178575227907010687520299492312,2023-02-01 21:16:40+00:00,1671126000,0.5,2022-12-15 17:40:00+00:00,48.15046296296296,0.01,0.0,0.25,-0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.9999999979591836,0.9999999980000001,mid,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0054169563,short,0.25,0.25,0.05,50.0,11.5,48.5,1048.5,0.0,2022-12
248207,Will the Fed increase interest rates by 25 bps after its February meeting?,,102122366921728883686007723122183182680201356871652918420191682492250640822215,2023-02-01 21:02:06+00:00,1671126000,0.5,2022-12-15 17:40:00+00:00,48.140347222222225,0.9,1.0,0.66,0.16000000000000003,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.98,0.0,0.9999999980000001,mid,1,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.97825134,long,0.16000000000000003,0.16000000000000003,0.05,50.0,7.000000000000002,55.5,1055.5,0.0,2022-12
248207,Will the Fed increase interest rates by 25 bps after its February meeting?,,102122366921728883686007723122183182680201356871652918420191682492250640822215,2023-02-01 21:02:06+00:00,1671132035,0.65,2022-12-15 19:20:35+00:00,48.07049768518519,0.9,1.0,0.66,0.010000000000000009,0.575,0.10606601717798218,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.5,0.98,0.3124999993489584,1.1304347806427224,mid,1,1.4142135490397614,0.0,0.0,0.575,0.575,0.10606601717798218,0.0,0.0,0.0,0.8243856,long,0.010000000000000009,0.010000000000000009,0.05,50.0,-0.49999999999999956,55.0,1055.0,-0.5,2022-12
248208,Will the Fed increase interest rates by 50 bps after its February meeting?,,47964004584107225500321701776265303926067511500178575227907010687520299492312,2023-02-01 21:16:40+00:00,1671132035,0.5,2022-12-15 19:20:35+00:00,48.080613425925925,0.01,0.0,0.25,-0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.9999999979591836,0.9999999980000001,mid,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0054169563,short,0.25,0.25,0.05,50.0,11.5,66.5,1066.5,0.0,2022-12
248208,Will the Fed increase interest rates by 50 bps after its February meeting?,,47964004584107225500321701776265303926067511500178575227907010687520299492312,2023-02-01 21:16:40+00:00,1671138027,0.5,2022-12-15 21:00:27+00:00,48.01126157407408,0.01,0.0,0.25,-0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5,0.9999999979591836,0.9999999980000001,mid,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0054169563,short,0.25,0.25,0.05,50.0,11.5,78.0,1078.0,0.0,2022-12
